label,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20
2,0.322708,0.494778,0.010000,0.410351,0.111427,0.381669,0.211139,0.363998,0.299902,0.351181,0.182897,0.213664,0.219252,0.081791,0.245723,0.010000,0.269148,0.010000,0.392901,0.218563,0.423633,0.073782,0.454804,0.010000,0.475959,0.010000,0.686119,0.597064,0.787998,0.677602,0.874132,0.745444,0.946897,0.800019,0.850550,0.630514,0.964761,0.663734,0.990000,0.686993,0.990000,0.704844
2,0.572673,0.536662,0.207990,0.657860,0.316048,0.581669,0.416279,0.504885,0.490508,0.447652,0.283305,0.341528,0.252100,0.190740,0.227187,0.069765,0.210669,0.010000,0.490854,0.219866,0.451372,0.050605,0.421404,0.010000,0.393155,0.010000,0.979138,0.375805,0.990000,0.366856,0.990000,0.357627,0.990000,0.350360,0.990000,0.362819,0.990000,0.333548,0.990000,0.308439,0.990000,0.294222
2,0.678515,0.394599,0.369366,0.416867,0.439589,0.345209,0.494691,0.274745,0.551083,0.222640,0.462622,0.222357,0.432743,0.117806,0.417268,0.027779,0.400046,0.010000,0.632175,0.154217,0.604094,0.036321,0.585058,0.010000,0.565423,0.010000,0.986051,0.317997,0.990000,0.322949,0.990000,0.323806,0.990000,0.329721,0.990000,0.359242,0.990000,0.369167,0.990000,0.386575,0.990000,0.392601
2,0.507726,0.437851,0.190414,0.420429,0.291712,0.367998,0.372003,0.321298,0.442950,0.286648,0.330258,0.224522,0.343057,0.103787,0.349473,0.010000,0.365057,0.010000,0.541702,0.184742,0.566106,0.052425,0.583002,0.010000,0.600589,0.010000,0.854482,0.412512,0.977532,0.429457,0.990000,0.443538,0.990000,0.461736,0.981434,0.500039,0.990000,0.534410,0.990000,0.557401,0.990000,0.587261
2,0.585952,0.520703,0.169720,0.516563,0.283783,0.430717,0.382038,0.365827,0.473412,0.299559,0.347569,0.256279,0.348922,0.094369,0.354590,0.010000,0.364385,0.010000,0.565594,0.183587,0.566199,0.010276,0.560635,0.010000,0.556054,0.010000,0.990000,0.435961,0.990000,0.439225,0.990000,0.441271,0.990000,0.437547,0.990000,0.505604,0.990000,0.516804,0.990000,0.527193,0.990000,0.528975
2,0.490523,0.577173,0.187705,0.544936,0.265624,0.487907,0.332722,0.430832,0.398214,0.383858,0.306300,0.369358,0.303877,0.258682,0.301921,0.167366,0.302191,0.091615,0.505121,0.340087,0.524174,0.213622,0.528091,0.104091,0.536426,0.027566,0.821232,0.558643,0.937035,0.589173,0.990000,0.601554,0.990000,0.623886,0.940279,0.621988,0.990000,0.663074,0.990000,0.690610,0.990000,0.711386
2,0.398448,0.432520,0.016841,0.391302,0.115063,0.308858,0.205327,0.241210,0.272927,0.184260,0.209791,0.172808,0.225297,0.031246,0.247458,0.010000,0.258337,0.010000,0.442674,0.137031,0.463418,0.010000,0.493375,0.010000,0.507972,0.010000,0.800009,0.439404,0.939833,0.495665,0.990000,0.538646,0.990000,0.568895,0.971961,0.466003,0.990000,0.489307,0.990000,0.501358,0.990000,0.514378
2,0.335380,0.439163,0.010000,0.422498,0.095047,0.373536,0.199030,0.326208,0.282317,0.285416,0.113023,0.183893,0.109471,0.042260,0.105544,0.010000,0.105205,0.010000,0.370778,0.142271,0.387933,0.010000,0.396937,0.010000,0.413306,0.010000,0.740865,0.423683,0.877036,0.456670,0.975237,0.484094,0.990000,0.511438,0.886693,0.500424,0.990000,0.541803,0.990000,0.569495,0.990000,0.598446
2,0.387871,0.412214,0.012039,0.316011,0.147791,0.295153,0.260198,0.273579,0.363780,0.254046,0.199168,0.081796,0.214519,0.010000,0.222491,0.010000,0.237955,0.010000,0.460151,0.094872,0.497799,0.010000,0.525685,0.010000,0.547934,0.010000,0.825508,0.485194,0.967463,0.547034,0.990000,0.590247,0.990000,0.628657,0.978606,0.572431,0.990000,0.620049,0.990000,0.646830,0.990000,0.680501
2,0.577618,0.496778,0.278041,0.410193,0.363405,0.358666,0.444754,0.309843,0.509677,0.274224,0.443714,0.267539,0.466351,0.148640,0.478909,0.059896,0.493751,0.010000,0.611309,0.255408,0.628143,0.133959,0.639508,0.029067,0.649953,0.010000,0.908270,0.545389,0.990000,0.584737,0.990000,0.618747,0.990000,0.643480,0.990000,0.627629,0.990000,0.672296,0.990000,0.713461,0.990000,0.742911
